序号,认定点代码,题型代码,题号,试题（题干）。,试题（选项A）,试题（选项B）,试题（选项C）,试题（选项D）,试题（选项E）,【图】及位置,正确答案,难度代码,一致性代码,,,
1157,B-B-A-013,C（判断题）,,固定翼无人机重心调整可以不考虑燃油消耗对重心的影响（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1158,B-B-A-013,C（判断题）,,固定翼无人机重心调整只需要在出厂时进行，后续无需再调整（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1159,B-B-A-013,G（多选题）,,固定翼无人机整机重心调整时，需要考虑 （）因素。,机身结构,燃油重量,武器挂载,起落架位置,飞行高度,,ABC,4（较难）,5（好）,,,
1160,B-B-A-013,G（多选题）,, 关于固定翼无人机重心调整原则正确的是（）。,保证纵向平衡,避免横向重心偏移,考虑飞行时的动态变化,随意调整重心,重心越低越好,,ABC,3（中）,5（好）,,,
1161,B-B-A-014,B（单选题）,,固定翼无人机重心靠后时，可通过 （）方法调整。,在机头增加配重, 将电池向机尾移动,增加机翼面积, 减少机尾的重量,,,A,3（中）,5（好）,,,
1162,B-B-A-014,B（单选题）,,固定翼无人机重心调整时，测量重心的常用工具是（）。,游标卡尺,电子秤,重心测量仪（平衡架）,万用表,,,C,3（中）,5（好）,,,
1163,B-B-A-014,B（单选题）,,固定翼无人机在挂载较重武器后，为调整重心， 做法正确的是（）。,将燃油向武器方向转移,减少燃油量,增加武器挂载点配重,将燃油向远离武器方向转移,,,D,3（中）,5（好）,,,
1164,B-B-A-014,C（判断题）,,固定翼无人机在飞行过程中发现重心偏移，可直接在空中通过调整配重块位置来纠正重心。（  ）, 正确,错误,,,,,B,3（中）,5（好）,,,
1165,B-B-A-014,C（判断题）,,固定翼无人机更换较轻的螺旋桨后，不需要调整整机重心，因为螺旋桨重量对重心影响极小。（  ）, 正确,错误,,,,,B,3（中）,5（好）,,,
1166,B-B-A-014,G（多选题）,, 以下操作有助于准确调整固定翼无人机整机重心的是（）。,使用高精度电子秤测量各部件重量,在调整重心过程中，随意增减配重块,参考飞机设计图纸上的重心范围,调整完成后，直接进行复杂飞行测试,多次测量重心位置，取平均值确定最终重心,,ACE,3（中）,5（好）,,,
1167,B-B-A-014,G（多选题）,,固定翼无人机整机重心调整方法中，考虑到燃油消耗对重心的影响， 做法正确的是（）。,忽略燃油消耗，认为其对重心影响不大,在飞机满油和燃油剩余 10% 时分别测量重心并调整,根据燃油消耗曲线，预估不同飞行阶段的重心变化,只在飞机满油状态下调整重心,调整重心时，选择密度与燃油相近的材料作为配重,,BCE,3（中）,5（好）,,,
1168,B-B-A-015,B（单选题）,,固定翼无人机整机重心配平的主要目的是（）。,提高飞行速度,增强飞行稳定性,增加续航时间,降低噪音,,,B,2（较易）,5（好）,,,
1169,B-B-A-015,B（单选题）,,在进行固定翼无人机重心配平时，理想的重心位置应位于（）。,机翼前缘,机翼后缘,机翼平均气动弦长的 25%-35% 处,机头,,,C,2（较易）,5（好）,,,
1170,B-B-A-015,B（单选题）,,固定翼无人机在挂载不同任务载荷时，重心配平原则是（）。,不考虑载荷重心,根据载荷重心重新调整整机重心,只调整载荷位置，不调整整机重心,随意调整,,,B,2（较易）,5（好）,,,
1171,B-B-A-015,C（判断题）,,固定翼无人机重心配平只需要在地面进行，飞行中无需考虑。, 正确,错误,,,,,B,3（中）,5（好）,,,
1172,B-B-A-015,C（判断题）,,固定翼无人机重心配平可以不考虑燃油消耗对重心的影响。, 正确,错误,,,,,B,3（中）,5（好）,,,
1173,B-B-A-015,G（多选题）,,固定翼无人机整机重心配平原则包括（）。,保证各方向力矩平衡,使重心在合理范围内,避免重心集中在某一点,随意配平,不考虑飞行姿态,,ABC,3（中）,5（好）,,,
1174,B-B-A-015,G（多选题）,,固定翼无人机重心配平需要考虑（）方面。,部件重量分布,飞行姿态控制,任务需求,外观美观,成本控制,,ABC,3（中）,5（好）,,,
1175,B-B-A-016,B（单选题）,,固定翼无人机整机重心配平方法是（）。,通过增加或减少机翼面积,通过调整螺旋桨的螺距,通过移动电池或其他重物的位置, 通过改变机身的颜色,,,C,3（中）,5（好）,,,
1176,B-B-A-016,B（单选题）,,固定翼无人机重心配平的第一步是（）。,测量整机重心位置,安装配重,调整电池位置,更换螺旋桨,,,A,3（中）,5（好）,,,
1177,B-B-A-016,B（单选题）,,固定翼无人机在重心配平过程中，发现重心偏前，可通过（）方法调整。,将燃油向后转移,增加前部配重,减小后部螺旋桨尺寸,增大前部螺旋桨尺寸,,,A,3（中）,5（好）,,,
1178,B-B-A-016,C（判断题）,,固定翼无人机重心配平可以通过改变电机的安装角度来实现。, 正确,错误,,,,,B,3（中）,5（好）,,,
1179,B-B-A-016,C（判断题）,,固定翼无人机重心配平完成后，无需再次检查。, 正确,错误,,,,,B,3（中）,5（好）,,,
1180,B-B-A-016,G（多选题）,,固定翼无人机整机重心配平可以采用（）方式。,在不同位置添加配重,调整任务载荷分布,更换不同重量的电池,改变螺旋桨螺距,调整电机位置,,ABCE,3（中）,5（好）,,,
1181,B-B-A-016,G（多选题）,,固定翼无人机重心配平过程中，注意事项正确的是（）。,精确测量配重重量,确保配重固定牢固,逐步调整,随意选择配重材料,不考虑其他部件,,ABC,3（中）,5（好）,,,
1182,B-B-B-001,B（单选题）,,装配 FPV 系统时，安装摄像头的下一步通常是（）。,安装图传发射模块,连接电池,安装遥控器,调试系统,,,A,3（中）,5（好）,,,
1183,B-B-B-001,B（单选题）,,FPV 系统装配完成后，首次测试前需要检查的是（）。,摄像头角度,图传频率,天线连接,以上都是,,,D,3（中）,5（好）,,,
1184,B-B-B-001,B（单选题）,,在装配 FPV 系统的天线时，正确安装安装方法是（）。,随意安装,尽量远离其他电子设备,靠近摄像头,缩短天线长度,,,B,3（中）,5（好）,,,
1185,B-B-B-001,C（判断题）,,装配 FPV 系统可以不按照特定顺序，随意安装各部件。, 正确,错误,,,,,B,3（中）,5（好）,,,
1186,B-B-B-001,C（判断题）,,FPV 系统装配完成后，无需进行信号测试即可使用。, 正确,错误,,,,,B,3（中）,5（好）,,,
1187,B-B-B-001,G（多选题）,,装配 FPV 系统时，需要准备（）工具。,螺丝刀,电钻,万用表,热熔胶枪,钳子,,AE,3（中）,5（好）,,,
1188,B-B-B-001,G（多选题）,,FPV 系统装配过程中的注意事项是（）。,确保摄像头和图传模块的连接线牢固且屏蔽良好,使用高质量的天线以确保信号传输稳定,检查所有电子元件的工作电压是否匹配,在安装前对所有组件进行外观检查，确保无损坏,安装后进行防水处理,,ACBD,3（中）,5（好）,,,
1189,B-B-B-002,B（单选题）,,安装 FPV 摄像头时，使用（）固定方式更稳固。,胶带粘贴,螺丝固定,橡皮筋捆绑,胶水粘贴,,,B,3（中）,5（好）,,,
1190,B-B-B-002,B（单选题）,,调整 FPV 图传发射功率时，应依据（）。,当地法规和法律要求,电池的剩余电量,摄像头的分辨率设置,飞行器的最大飞行速度,,,A,3（中）,5（好）,,,
1191,B-B-B-002,B（单选题）,,FPV 系统装配中，校准摄像头的目的是（）。,调整画面亮度,确保图像清晰无畸变,改变拍摄角度,提高拍摄帧率,,,B,3（中）,5（好）,,,
1192,B-B-B-002,C（判断题）,,装配 FPV 系统时，所有部件都可以直接用手安装，无需工具。, 正确,错误,,,,,B,3（中）,5（好）,,,
1193,B-B-B-002,C（判断题）,,FPV 系统装配过程中，对图传设备的设置可以随意进行。, 正确,错误,,,,,B,3（中）,5（好）,,,
1194,B-B-B-002,G（多选题）,,FPV 系统装配方法中，正确连接线路的要点包括（）。,区分正负极,避免线路缠绕,使用合适的接头,随意布线,固定线路,,ABCE,3（中）,5（好）,,,
1195,B-B-B-002,G（多选题）,,装配 FPV 系统的天线时，需要考虑的因素有（）。,天线增益,天线方向,周围电子设备干扰,天线颜色,无人机外观,,ABC,3（中）,5（好）,,,
1196,B-B-B-003,B（单选题）,,装配航拍系统时，安装云台的第一步是（）。,将云台直接固定在无人机上, 检查所有组件是否齐全且无损坏,连接云台与飞行控制器,校准云台的三轴传感器,,,B,3（中）,5（好）,,,
1197,B-B-B-003,B（单选题）,,航拍系统装配完成后，进行飞行测试前需要检查的是（）。,相机存储卡,云台水平度,电池电量,以上都是,,,D,3（中）,5（好）,,,
1198,B-B-B-003,B（单选题）,,在装配航拍相机时，调整相机角度应在（）。,安装云台之前,"固定相机到云台之后，但在连接飞控之前
",连接飞控并完成基本设置之后,完成所有装配和初步飞行测试之后,,,C,3（中）,5（好）,,,
1199,B-B-B-003,C（判断题）,,航拍系统装配可以不考虑相机与云台的兼容性。, 正确,错误,,,,,B,3（中）,5（好）,,,
1200,B-B-B-003,C（判断题）,,装配航拍系统时，先安装相机再安装云台支架是正确顺序。, 正确,错误,,,,,B,2（较易）,5（好）,,,
1201,B-B-B-003,G（多选题）,,装配航拍系统时，需要准备的材料有（）。,相机,云台,图传模块,飞行控制器,遥控器和接收机,,ABCDE,3（中）,5（好）,,,
1202,B-B-B-003,G（多选题）,,航拍系统装配过程中，（）操作有助于提高拍摄稳定性。,正确安装云台减震装置,选择合适的相机安装位置,随意调整云台参数,固定好相机与云台连接,定期校准云台,,ABDE,3（中）,5（好）,,,
1203,B-B-B-004,B（单选题）,,安装航拍相机镜头时，下列做法正确的是（）。,直接拧上镜头,先清洁镜头和接口再安装,安装后用力晃动相机,随意旋转镜头,,,B,3（中）,5（好）,,,
1204,B-B-B-004,B（单选题）,,调整航拍云台的俯仰角度范围，应在（）。,云台设置界面,相机设置界面,遥控器设置,飞行中调整,,,A,3（中）,5（好）,,,
1205,B-B-B-004,B（单选题）,,航拍系统装配完成后，校准相机白平衡的目的是（）。,提高照片清晰度,使色彩还原更准确,增加拍摄距离,改变拍摄帧率,,,B,3（中）,5（好）,,,
1206,B-B-B-004,C（判断题）,,装配航拍系统时，使用低质量的存储卡不影响拍摄效果。, 正确,错误,,,,,B,3（中）,5（好）,,,
1207,B-B-B-004,C（判断题）,,航拍系统装配过程中，对云台的调试可以不进行。, 正确,错误,,,,,B,3（中）,5（好）,,,
1208,B-B-B-004,G（多选题）,,航拍系统装配方法中，调试云台的步骤包括（）。,校准水平,测试俯仰和横滚运动,设置运动速度,随意调整参数,检查云台与相机连接,,ABCE,3（中）,5（好）,,,
1209,B-B-B-004,G（多选题）,,安装航拍相机时，需要注意（）方面。,相机的朝向,相机的固定牢固程度,相机的防水处理,相机的品牌,相机的重量,,ABC,3（中）,5（好）,,,
1210,B-B-B-005,B（单选题）,,装配抓取系统时，安装机械爪的关键步骤是（）。,调整机械爪张合度,固定机械爪支架,连接控制线路,安装驱动电机,,,B,3（中）,5（好）,,,
1211,B-B-B-005,B（单选题）,,调整抓取系统的抓取力度，应通过调整（）。,机械爪材质,驱动电机功率,控制程序参数,机械爪形状,,,B,1（易）,5（好）,,,
1212,B-B-B-005,B（单选题）,,抓取系统装配完成后，进行抓取测试时，应先（）。,设置抓取目标,检查系统稳定性,调整机械爪位置,启动驱动电机,,,B,1（易）,5（好）,,,
1213,B-B-B-005,C（判断题）,,装配抓取系统时，机械爪的安装位置可以随意确定。, 正确,错误,,,,,B,3（中）,5（好）,,,
1214,B-B-B-005,C（判断题）,,抓取系统装配完成后，无需进行负载测试即可使用。, 正确,错误,,,,,B,3（中）,5（好）,,,
1215,B-B-B-005,G（多选题）,,装配抓取系统需要用到（）工具。,扳手,螺丝刀,电钻,示波器,万用表,,AB,4（较难）,5（好）,,,
1216,B-B-B-005,G（多选题）,,抓取系统装配过程中，（）操作有助于提高抓取精度。,精确调整机械爪位置,优化控制程序,选择合适的驱动电机,随意安装机械爪,定期维护系统,,ABCE,3（中）,5（好）,,,
1217,B-B-B-006,B（单选题）,,装配运载系统时，安装运载平台的第一步是（）。,固定平台支架,连接动力系统,安装货物固定装置,调试平台,,,A,3（中）,5（好）,,,
1218,B-B-B-006,B（单选题）,,调整运载系统的载重能力，可通过改变（）。,运载平台材质,动力系统功率,货物固定方式,运载平台形状,,,B,3（中）,5（好）,,,
1219,B-B-B-006,B（单选题）,,运载系统装配完成后，进行载重测试时，应逐渐（）。,增加载重量,提高运行速度,改变运行方向,调整动力系统,,,A,3（中）,5（好）,,,
1220,B-B-B-006,C（判断题）,,装配运载系统时，动力系统的安装可以不考虑与运载平台的匹配性。, 正确,错误,,,,,B,3（中）,5（好）,,,
1221,B-B-B-006,C（判断题）,,运载系统装配完成后，无需检查货物固定装置即可运载货物。, 正确,错误,,,,,B,3（中）,5（好）,,,
1222,B-B-B-006,G（多选题）,,装配运载系统需要准备（）材料。,运载平台,动力系统,货物固定装置,电池,遥控器,,ABC,3（中）,5（好）,,,
1223,B-B-B-006,G（多选题）,,运载系统装配过程中，（）操作有助于提高运载安全性。,确保动力系统稳定,优化货物固定方式,随意调整运载平台高度,定期检查系统,选择合适的运行路线,,ABDE,3（中）,5（好）,,,
1224,B-B-B-007,B（单选题）,,装配物流系统时，安装货物存储箱的下一步是（）。,连接运输轨道,安装识别装置,调试存储箱,固定存储箱,,,B,3（中）,5（好）,,,
1225,B-B-B-007,B（单选题）,,物流系统装配完成后，进行货物运输测试前需要检查的是（）。,运输轨道平整度,识别装置准确性,动力系统,以上都是,,,D,3（中）,5（好）,,,
1226,B-B-B-007,B（单选题）,,在装配物流系统的运输轨道时，轨道的连接应（）。,紧密无缝,留有一定间隙,随意连接,使用胶水粘贴,,,A,3（中）,5（好）,,,
1227,B-B-B-007,C（判断题）,,物流系统装配可以不按照设计图纸进行，随意安装各部件（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1228,B-B-B-007,C（判断题）,,物流系统装配完成后，无需进行空载测试即可运输货物（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1229,B-B-B-007,G（多选题）,,装配物流系统时，需要准备（）工具。,螺丝刀,扳手,电钻,水平仪,示波器,,ABCD,3（中）,5（好）,,,
1230,B-B-B-007,G（多选题）,,物流系统装配过程中，（）操作有助于提高运输效率。,优化运输轨道布局,确保识别装置准确,随意设置动力系统参数,定期维护系统,合理安排货物存储,,ABDE,3（中）,5（好）,,,
1231,B-B-B-008,B（单选题）,,装配投放系统时，安装投放机构的关键步骤是（）。,调整投放角度,固定投放机构支架,连接控制线路,安装驱动电机,,,B,3（中）,5（好）,,,
1232,B-B-B-008,B（单选题）,,调整投放系统的投放距离，应通过调整（）。,投放机构材质,驱动电机功率,控制程序参数,投放机构形状,,,C,1（易）,5（好）,,,
1233,B-B-B-008,B（单选题）,,投放系统装配完成后，进行投放测试时，应先（）。,设置投放目标,检查系统稳定性,调整投放机构位置,启动驱动电机,,,B,3（中）,5（好）,,,
1234,B-B-B-008,C（判断题）,,装配投放系统时，投放机构的安装位置可以随意确定。, 正确,错误,,,,,B,3（中）,5（好）,,,
1235,B-B-B-008,C（判断题）,,投放系统装配完成后，无需进行精度测试即可投放物品。, 正确,错误,,,,,B,3（中）,5（好）,,,
1236,B-B-B-008,G（多选题）,,装配投放系统需要用到（）工具。,扳手,螺丝刀,电钻,示波器,万用表,,AB,3（中）,5（好）,,,
1237,B-B-B-008,G（多选题）,,投放系统装配过程中，（）操作有助于提高投放精度。,精确调整投放机构位置,优化控制程序,选择合适的驱动电机,随意安装投放机构,定期维护系统,,ABCE,3（中）,5（好）,,,
1238,B-B-B-009,B（单选题）,,装配航测系统时，安装航测相机的第一步是（）。,固定相机支架,连接相机与数据传输线,调试相机,安装存储卡,,,A,3（中）,5（好）,,,
1239,B-B-B-009,B（单选题）,,航测系统装配完成后，进行飞行航测前需要检查的是（）。,相机参数设置,GPS 定位精度,数据存储设备,以上都是,,,D,3（中）,5（好）,,,
1240,B-B-B-009,B（单选题）,,在装配航测系统的 GPS 模块时，模块的安装位置应（）。,随意放置,尽量靠近相机,在无人机顶部开阔处,在无人机底部,,,C,1（易）,5（好）,,,
1241,B-B-B-009,C（判断题）,,航测系统装配可以不考虑相机与 GPS 模块的协同工作（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1242,B-B-B-009,C（判断题）,,装配航测系统时，先安装数据传输线再安装相机是正确顺序（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1243,B-B-B-009,G（多选题）,,装配航测系统时，需要准备的材料有（）。,航测相机,GPS 模块,数据传输线,存储卡,电池,,ABCD,3（中）,5（好）,,,
1244,B-B-B-009,G（多选题）,,航测系统装配过程中，（）操作有助于提高航测精度。,正确校准相机,确保 GPS 定位准确,随意调整数据传输速率,固定好相机与支架连接,定期维护系统,,ABDE,3（中）,5（好）,,,
1245,B-B-B-010,B（单选题）,,安装无人机五目镜头时，做法正确的是（）。,直接安装，无需对准,先清洁镜头和接口再安装,安装后用力晃动镜头,随意旋转镜头,,,B,3（中）,5（好）,,,
1246,B-B-B-010,B（单选题）,,调整五目镜头的拍摄角度，应在（）。,镜头设置界面,飞控设置界面,遥控器设置,飞行中调整,,,A,5（难）,5（好）,,,
1247,B-B-B-010,B（单选题）,,五目镜头装配完成后，校准镜头参数的目的是（）。,提高图像分辨率,确保所有镜头的焦距一致,使多个镜头之间的视差最小化,增强图像色彩饱和度,,,C,3（中）,5（好）,,,
1248,B-B-B-010,C（判断题）,,装配五目镜头时，使用低质量的镜头不影响拍摄效果（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1249,B-B-B-010,C（判断题）,,五目镜头装配过程中，对镜头的调试可以不进行（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1250,B-B-B-010,G（多选题）,,五目镜头装配方法中，正确安装镜头的要点包括（）。,对准安装位置,避免镜头污染,使用合适的固定件,随意安装,固定镜头,,ABCE,3（中）,5（好）,,,
1251,B-B-B-010,G（多选题）,,安装五目镜头时，需要注意（）方面。,镜头的朝向,镜头的固定牢固程度,镜头的防水处理,镜头的品牌,镜头的重量,,ABC,3（中）,5（好）,,,
1252,B-B-B-011,B（单选题）,,装配热红外成像系统时，安装热像仪的关键步骤是（）。,调整热像仪角度,固定热像仪支架,连接数据传输线,安装电池,,,B,3（中）,5（好）,,,
1253,B-B-B-011,B（单选题）,,调整热红外成像系统的测温精度，应通过调整（）。,热像仪材质,数据传输线,控制程序参数,热像仪形状,,,C,3（中）,5（好）,,,
1254,B-B-B-011,B（单选题）,,热红外成像系统装配完成后，进行测试时，应先（）。,设置测温范围,检查系统稳定性,调整热像仪位置,启动系统,,,B,3（中）,5（好）,,,
1255,B-B-B-011,C（判断题）,,装配热红外成像系统时，热像仪的安装位置可以随意确定。, 正确,错误,,,,,B,3（中）,5（好）,,,
1256,B-B-B-011,C（判断题）,,热红外成像系统装配完成后，无需进行校准即可使用。, 正确,错误,,,,,B,3（中）,5（好）,,,
1257,B-B-B-011,G（多选题）,,装配热红外成像系统需要用到（）工具。,扳手,螺丝刀,电钻,示波器,万用表,,AB,3（中）,5（好）,,,
1258,B-B-B-011,G（多选题）,,热红外成像系统装配过程中，（）操作有助于提高成像质量。,精确调整热像仪位置,优化控制程序,选择合适的数据传输线,随意安装热像仪,定期维护系统,,ABCE,3（中）,5（好）,,,
1259,B-B-B-012,B（单选题）,,装配植保系统时，安装药箱的下一步是（）。,连接喷雾管道,安装搅拌装置,调试药箱,固定药箱,,,A,3（中）,5（好）,,,
1260,B-B-B-012,B（单选题）,,植保系统装配完成后，进行喷雾测试前需要检查的是（）。,药箱密封性,喷雾泵压力,电池电量,以上都是,,,D,3（中）,5（好）,,,
1261,B-B-B-012,B（单选题）,,在装配植保系统的喷雾管道时，管道的连接应（）。,紧密不漏液,留有一定间隙,随意连接,使用胶水粘贴,,,A,3（中）,5（好）,,,
1262,B-B-B-012,C（判断题）,,植保系统装配可以不按照设计要求进行，随意安装各部件。, 正确,错误,,,,,B,3（中）,5（好）,,,
1263,B-B-B-012,C（判断题）,,植保系统装配完成后，无需进行空载喷雾测试即可作业。, 正确,错误,,,,,B,3（中）,5（好）,,,
1264,B-B-B-012,G（多选题）,,装配植保系统时，需要准备（）工具。,螺丝刀,扳手,电钻,水平仪,密封胶,,ABCE,3（中）,5（好）,,,
1265,B-B-B-012,G（多选题）,,植保系统装配过程中，（）操作有助于提高喷雾均匀性。,优化喷雾管道布局,确保喷雾泵稳定,随意设置搅拌装置参数,固定好药箱与管道连接,定期维护系统,,ABDE,3（中）,5（好）,,,
1266,B-B-B-013,B（单选题）,,安装植保喷洒系统的喷头时，以下做法正确的是（）。,直接安装，无需调整,先清洁喷头再安装,安装后用力晃动喷头,随意更换喷头,,,B,3（中）,5（好）,,,
1267,B-B-B-013,B（单选题）,,调整植保喷洒系统的喷洒流量，应通过调整（）。,无人机的飞行速度,喷洒泵的压力,摄像头的角度,喷头形状,,,B,1（易）,5（好）,,,
1268,B-B-B-013,B（单选题）,,植保喷洒系统装配完成后，进行流量测试时，应先（）。,设置喷洒模式,检查系统密封性,调整喷头位置,启动喷雾泵,,,B,1（易）,5（好）,,,
1269,B-B-B-013,C（判断题）,,装配植保喷洒系统时，喷头的安装位置可以随意确定（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1270,B-B-B-013,C（判断题）,,植保喷洒系统装配完成后，无需进行压力测试即可作业（）。, 正确,错误,,,,,B,3（中）,5（好）,,,
1271,B-B-B-013,G（多选题）,,植保喷洒系统装配方法中，正确连接喷雾管道的要点包括（）。,区分管道进出口,避免管道扭曲,使用合适的接头,随意布线,固定管道,,ABCE,3（中）,5（好）,,,
1272,B-B-B-013,G（多选题）,,安装植保喷洒系统的喷头时，需要注意（）方面。,喷头的朝向,喷头的固定牢固程度,喷头的防堵塞处理,喷头的品牌,喷头的重量,,ABC,3（中）,5（好）,,,
1273,B-B-B-014,B（单选题）,,装配植保播种系统时，安装播种器的关键步骤是（）。,调整播种器播量,固定播种器支架,连接传动装置,安装电机,,,B,3（中）,5（好）,,,
1274,B-B-B-014,B（单选题）,,调整植保播种系统的播种深度，应通过调整（）。,播种器材质,传动装置,控制程序参数,播种器形状,,,C,3（中）,5（好）,,,
1275,B-B-B-014,B（单选题）,,植保播种系统装配完成后，进行播种测试时，应先（）。,直接在田间进行大面积播种测试,检查所有组件是否齐全且无损坏,调整播种深度和间距,校准播种量,,,B,3（中）,5（好）,,,
1276,B-B-B-014,C（判断题）,,装配植保播种系统时，播种器的安装位置不会影响播种的均匀性。, 正确,错误,,,,,B,3（中）,5（好）,,,
1277,B-B-B-014,C（判断题）,,植保播种系统装配完成后，不需要进行播种量的校准即可投入使用。, 正确,错误,,,,,B,3（中）,5（好）,,,
1278,B-B-B-014,G（多选题）,,（）是装配植保播种系统时，正确安装传动装置的要点。,确保传动部件连接紧密,涂抹适量润滑油,随意安装，无需调整,检查传动部件的同心度,使用不合适的连接件,,ABD,3（中）,5（好）,,,
1279,B-B-B-014,G（多选题）,,装配植保播种系统时，选择播种器需要考虑（）因素。,播种作物种类,播种面积,播种精度要求,播种器的颜色,无人机的续航能力,,ABC,3（中）,5（好）,,,
1280,B-B-B-015,B（单选题）,,装配喊话系统时，安装扬声器的下一步通常是（）。,连接音频传输线,安装控制器,固定支架,调试系统,,,A,3（中）,5（好）,,,
1281,B-B-B-015,B（单选题）,,喊话系统装配完成后，首次测试前需要检查的是（）。,扬声器音量,控制器设置,音频线路连接,以上都是,,,D,3（中）,5（好）,,,
1282,B-B-B-015,B（单选题）,,在装配喊话系统的控制器时，应将其安装在（）。,无人机顶部,便于操作和散热的位置,无人机底部,随意位置,,,B,3（中）,5（好）,,,
1283,B-B-B-015,C（判断题）,,装配喊话系统可以不按照特定顺序，随意安装各部件。, 正确,错误,,,,,B,3（中）,5（好）,,,
1284,B-B-B-015,C（判断题）,,喊话系统装配完成后，无需进行声音测试即可使用。, 正确,错误,,,,,B,3（中）,5（好）,,,
1285,B-B-B-015,G（多选题）,,装配喊话系统时，需要准备（）工具。,螺丝刀,电钻,万用表,剥线钳,钳子,,AE,3（中）,5（好）,,,
1286,B-B-B-015,G（多选题）,,（）是喊话系统装配过程中的注意事项。,防止线路短路,保持部件干燥,随意设置控制器参数,正确连接音频线路,安装后进行防水处理,,ABD,3（中）,5（好）,,,
1287,B-B-B-016,B（单选题）,,安装喊话系统扬声器时，使用（）固定方式更稳固。,胶带粘贴,螺丝固定,橡皮筋捆绑,胶水粘贴,,,B,3（中）,5（好）,,,
1288,B-B-B-016,B（单选题）,,调整喊话系统的音量大小，应依据（）。,个人喜好,飞行环境噪音,电池电量,无人机型号,,,B,3（中）,5（好）,,,
1289,B-B-B-016,B（单选题）,,喊话系统装配中，校准音频输出的目的是（）。,调整声音清晰度,确保声音不失真,改变声音频率,提高声音响度,,,B,3（中）,5（好）,,,
1290,B-B-B-016,C（判断题）,,装配喊话系统时，所有部件都可以直接用手安装，无需工具。, 正确,错误,,,,,B,3（中）,5（好）,,,
1291,B-B-B-016,C（判断题）,,喊话系统装配过程中，对控制器的设置可以随意进行。, 正确,错误,,,,,B,3（中）,5（好）,,,
1292,B-B-B-016,G（多选题）,,喊话系统装配方法中，正确连接音频线路的要点包括（）。,区分正负极,避免线路缠绕,使用合适的接头,随意布线,固定线路,,ABCE,4（较难）,5（好）,,,
1293,B-B-B-016,G（多选题）,,装配喊话系统的扬声器时，需要考虑（）因素。,扬声器功率,扬声器朝向,周围电子设备干扰,扬声器颜色,无人机外观,,ABC,3（中）,5（好）,,,
1294,B-B-B-017,B（单选题）,,装配照明系统时，安装灯具的第一步是（）。,固定灯具支架,连接电源线路,调试灯具,安装灯罩,,,A,3（中）,5（好）,,,
1295,B-B-B-017,B（单选题）,,照明系统装配完成后，进行点亮测试前需要检查的是（）。,灯具亮度,电源电压,电池电量,以上都是,,,D,3（中）,5（好）,,,
1296,B-B-B-017,B（单选题）,,在装配照明系统的电源线路时，线路的连接应（）。,紧密牢固,留有一定间隙,随意连接,使用胶水粘贴,,,A,2（易）,5（好）,,,
1297,B-B-B-017,C（判断题）,,照明系统装配可以不考虑灯具与电源的兼容性。, 正确,错误,,,,,B,3（中）,5（好）,,,
1298,B-B-B-017,C（判断题）,,装配照明系统时，先安装灯罩再安装灯具是正确顺序。, 正确,错误,,,,,B,3（中）,5（好）,,,
1299,B-B-B-017,G（多选题）,,装配照明系统时，需要准备的材料有（）。,灯具,电源模块,控制器,连接线和接插件,散热装置,,ABCDE,3（中）,5（好）,,,
1300,B-B-B-017,G（多选题）,,照明系统装配过程中，（）操作有助于提高照明效果。,正确安装灯具位置,选择合适的灯具功率,随意调整电源参数,固定好灯具与支架连接,定期维护系统,,ABDE,3（中）,5（好）,,,
1301,B-B-B-018,B（单选题）,,安装照明灯具时，以下做法正确的是（）。,直接安装，无需检查,先清洁灯具再安装,安装后用力晃动灯具,随意更换灯具,,,B,2（易）,5（好）,,,
1302,B-B-B-018,B（单选题）,,调整照明系统的光照角度，应在（）。,灯具设置界面,遥控器设置,安装后手动调整,飞行中调整,,,C,3（中）,5（好）,,,
1303,B-B-B-018,B（单选题）,,照明系统装配完成后，校准灯具亮度的目的是（）。,提高照明范围,使光照均匀,增加照明时间,改变照明颜色,,,B,3（中）,5（好）,,,
1304,B-B-B-018,C（判断题）,,装配照明系统时，使用低质量的电线不影响照明效果。, 正确,错误,,,,,B,3（中）,5（好）,,,
1305,B-B-B-018,C（判断题）,,照明系统装配过程中，对灯具的调试可以不进行。, 正确,错误,,,,,B,3（中）,5（好）,,,
1306,B-B-B-018,G（多选题）,,照明系统装配方法中，调试灯具的步骤包括（）。,检查亮度,测试开关,设置光照模式,随意调整参数,检查灯具与电源连接,,ABCE,3（中）,5（好）,,,
1307,B-B-B-018,G（多选题）,,安装照明灯具时，需要注意的方面是（）。,灯具的朝向,灯具的固定牢固程度,灯具的防水处理,灯具的品牌,灯具的重量,,ABC,3（中）,5（好）,,,
1308,B-B-B-019,B（单选题）,,装配激光雷达系统时，安装雷达传感器的第一步是（）。,固定传感器支架,连接数据传输线,调试传感器,安装防护罩,,,A,3（中）,5（好）,,,
