题目ID,题目陈述,题目类型,内容分类,难度等级,分值,是否启用,选项A,选项B,选项C,选项D,选项E,选项F,正确答案,题目解析,出题人,创建时间,最后修改时间
02830,保障硬度调整质量的要点有（ ）。,多选题,飞行原理,中等,3,是,严格控制调整工艺参数,选择合适的调整设备,做好调整后的质量检测,随意调整硬度,忽略调整过程中的安全,,严格控制调整工艺参数;选择合适的调整设备;做好调整后的质量检测,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02831,硬度调整可以不按照工艺要求进行。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02832,调整硬度后，不需要对部件的其他性能进行评估。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02833,调整无人机结构刚度的有效方法是（ ）。,单选题,飞行原理,中等,2,是,改变结构的截面形状和尺寸,随意拆除结构部件,增加结构的重量,改变结构的颜色,,,改变结构的截面形状和尺寸,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02834,通过增加加强筋提升结构刚度，关键在于（ ）。,单选题,飞行原理,中等,2,是,合理设计加强筋的布局和尺寸,随意安装加强筋,增加加强筋的重量,改变加强筋的颜色,,,合理设计加强筋的布局和尺寸,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02835,在调整刚度后，需要进行的测试是（ ）。,单选题,飞行原理,中等,2,是,结构刚度测试和稳定性测试,外观测试,重量测试,导电性测试,,,结构刚度测试和稳定性测试,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02836,刚度的调整方法有（ ）。,多选题,飞行原理,中等,3,是,选择高弹性模量的材料,优化结构的连接方式,增加结构的壁厚,随意改变结构设计,忽略结构的使用环境,,选择高弹性模量的材料;优化结构的连接方式;增加结构的壁厚,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02837,保障刚度调整效果的要点有（ ）。,多选题,飞行原理,中等,3,是,进行详细的结构分析和计算,使用质量合格的材料和部件,做好调整后的性能检测,随意调整刚度,忽略调整过程中的安全,,进行详细的结构分析和计算;使用质量合格的材料和部件;做好调整后的性能检测,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02838,刚度调整可以不考虑结构的重量和成本。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02839,调整刚度后，不需要对无人机的整体性能进行评估。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02840,无人机重心位置靠前，会导致（ ）。,单选题,飞行原理,中等,2,是,机头容易下沉，影响飞行姿态稳定性,机尾容易下沉,飞行速度加快,续航能力增强,,,机头容易下沉，影响飞行姿态稳定性,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02841,为保证无人机飞行稳定性，重心位置应（ ）。,单选题,飞行原理,中等,2,是,处于设计的合理范围内,随意设置,尽量靠前,尽量靠后,,,处于设计的合理范围内,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02842,当无人机重心位置发生变化时，影响飞行稳定性的主要因素是（ ）。,单选题,飞行原理,中等,2,是,重心变化导致的力矩改变,重心变化的方向,重心变化的大小,重心变化的时间,,,重心变化导致的力矩改变,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02843,影响重心位置与飞行稳定性关系的因素有（ ）。,多选题,飞行原理,中等,3,是,无人机的载重分布,部件的安装位置,飞行姿态的调整,空气密度,操作人员的心情,,无人机的载重分布;部件的安装位置;飞行姿态的调整,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02844,通过调整重心位置提升飞行稳定性的措施有（ ）。,多选题,飞行原理,中等,3,是,合理安排设备和载荷的放置位置,调整机翼的安装角度,改变起落架的高度,随意移动重心,忽略重心对其他性能的影响,,合理安排设备和载荷的放置位置;调整机翼的安装角度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02845,重心位置对无人机飞行稳定性没有影响。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02846,只要重心在无人机内部，就不会影响飞行稳定性。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02847,无人机重心位置靠后，对飞行机动性的影响是（ ）。,单选题,飞行原理,中等,2,是,俯仰机动性增强，滚转和偏航机动性可能受影响,所有机动性都减弱,所有机动性都增强,对机动性无影响,,,俯仰机动性增强，滚转和偏航机动性可能受影响,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02848,在追求高机动性飞行时，无人机重心应（ ）。,单选题,飞行原理,中等,2,是,适当靠后，但需保证飞行稳定性,尽量靠前,处于机身中心,随意设置,,,适当靠后，但需保证飞行稳定性,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02849,当无人机重心位置发生较大变化时，飞行机动性首先受影响的是（ ）。,单选题,飞行原理,中等,2,是,姿态改变的响应速度,飞行速度,续航时间,飞行高度,,,姿态改变的响应速度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02850,影响重心位置与飞行机动性关系的因素有（ ）。,多选题,飞行原理,中等,3,是,无人机的机翼形状,动力系统的推力方向,飞行控制系统的性能,任务载荷的重量和分布,操作人员的技术水平,,无人机的机翼形状;动力系统的推力方向;飞行控制系统的性能;任务载荷的重量和分布,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02851,在分析重心位置与飞行机动性时，需考虑的方面有（ ）。,多选题,飞行原理,中等,3,是,不同飞行阶段的重心变化需求,空气动力学特性,无人机的结构强度,成本因素,法律法规,,不同飞行阶段的重心变化需求;空气动力学特性;无人机的结构强度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02852,重心位置对无人机的飞行机动性影响很小，可以忽略不计。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02853,无论重心位置如何变化，无人机的飞行机动性都能保持稳定。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02854,调整无人机重心位置时，最直接的方法是（ ）。,单选题,飞行原理,中等,2,是,改变设备或载荷的安装位置,更换更轻的材料,调整动力系统的功率,改变飞行控制系统参数,,,改变设备或载荷的安装位置,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02855,当需要将无人机重心向前调整时，可行的操作是（ ）。,单选题,飞行原理,中等,2,是,将部分设备向前移动或在机头增加配重,将部分设备向后移动,拆除机尾部分部件,增加机翼面积,,,将部分设备向前移动或在机头增加配重,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02856,在调整重心位置后，必须进行的工作是（ ）。,单选题,飞行原理,中等,2,是,重新进行重心测量和飞行性能评估,立即进行飞行测试,忽略调整后的检查,增加无人机的载重,,,重新进行重心测量和飞行性能评估,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02857,重心位置的调整方法还包括（ ）。,多选题,飞行原理,中等,3,是,改变电池的放置位置,使用可移动的配重块,优化机翼的安装角度,随意拆除部件,忽略重心调整的精度,,改变电池的放置位置;使用可移动的配重块,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02858,保障重心位置调整效果的要点有（ ）。,多选题,飞行原理,中等,3,是,制定详细的调整计划,使用高精度的测量工具,对调整后的无人机进行全面测试,随意选择调整方案,忽略调整过程中的安全,,制定详细的调整计划;使用高精度的测量工具;对调整后的无人机进行全面测试,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02859,重心位置调整可以随意进行，不需要考虑对无人机其他性能的影响。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02860,调整重心位置后，不需要重新校准飞行控制系统。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02861,无人机重心位置配平的目的是（ ）。,单选题,飞行原理,中等,2,是,使无人机在飞行过程中保持稳定的姿态和平衡,提高飞行速度,增加续航时间,增强动力性能,,,使无人机在飞行过程中保持稳定的姿态和平衡,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02862,在进行重心位置配平时，常用的计算依据是（ ）。,单选题,飞行原理,中等,2,是,无人机各部件的重量和位置分布,无人机的外观形状,飞行环境的温度和湿度,操作人员的指令,,,无人机各部件的重量和位置分布,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02863,当无人机重心位置配平出现偏差时，会导致（ ）。,单选题,飞行原理,中等,2,是,飞行姿态不稳定，操控困难,飞行高度无法保持,动力系统故障,通信导航系统失效,,,飞行姿态不稳定，操控困难,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02864,重心位置的配平方法有（ ）。,多选题,飞行原理,中等,3,是,计算配平重量和位置并添加配重,调整设备的布局,改变机翼的形状,随意配平,忽略配平后的测试,,计算配平重量和位置并添加配重;调整设备的布局,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02865,保障重心位置配平质量的要点有（ ）。,多选题,飞行原理,中等,3,是,精确测量各部件的重量和重心,使用专业的配平软件,对配平后的无人机进行严格的测试,随意选择配平方案,忽略配平过程中的安全,,精确测量各部件的重量和重心;使用专业的配平软件;对配平后的无人机进行严格的测试,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02866,重心位置配平可以不按照科学方法进行，凭经验即可。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:53
02867,配平后不需要再次检查重心位置是否符合要求。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:54
02868,优化飞行控制与导航系统安装位置时，首要考虑的因素是（ ）。,单选题,飞行原理,中等,2,是,减少系统受到的振动和干扰，保证信号传输稳定,安装的便利性,系统的外观美观,安装成本,,,减少系统受到的振动和干扰，保证信号传输稳定,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:54
02869,为提高飞行控制与导航系统的性能，安装位置应（ ）。,单选题,飞行原理,中等,2,是,靠近飞机重心且远离干扰源,随意选择,尽量靠近机头,尽量靠近机尾,,,靠近飞机重心且远离干扰源,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:54
02870,在优化安装位置后，需要进行的测试是（ ）。,单选题,飞行原理,中等,2,是,系统性能测试和飞行稳定性测试,外观测试,重量测试,导电性测试,,,系统性能测试和飞行稳定性测试,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:54
02871,飞行控制与导航系统安装位置优化方法有（ ）。,多选题,飞行原理,中等,3,是,进行电磁兼容性分析后选择合适位置,参考同类产品的安装经验,考虑无人机的结构特点,随意安装,忽略系统之间的信号交互,,进行电磁兼容性分析后选择合适位置;参考同类产品的安装经验;考虑无人机的结构特点,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:54
02872,保障安装位置优化效果的要点有（ ）。,多选题,飞行原理,中等,3,是,制定详细的安装计划,使用合适的固定和防护措施,对安装后的系统进行全面调试,随意选择安装位置,忽略安装过程中的安全,,制定详细的安装计划;使用合适的固定和防护措施;对安装后的系统进行全面调试,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:54
02873,飞行控制与导航系统的安装位置对其性能影响不大，可以随意安装。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:54
02874,优化安装位置后，不需要对整个飞行控制系统进行重新校准。（ ）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:54
02875,（）是社会主义职业道德的核心思想。,单选题,飞行安全,中等,2,是,为人民服务,执政为民,核心价值观,立党入公,,,为人民服务,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02881,《公民道德建设实施纲要》明确提出所有从业人员都应该共同遵守的主要行为规范是（）。,单选题,飞行安全,中等,2,是,爱岗敬业诚实守信办事公道服务群众奉献社会,懂得服从信守承诺坚守岗位精神饱满用心服务,谨言慎行学习创新艰苦奋斗团结互助维护荣誉,热爱本职秉公执法不谋私利严肃风纪着装整洁,,,爱岗敬业诚实守信办事公道服务群众奉献社会,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02885,讲究质量、注重信誉是社会主义职业道德最重要的规范之一。（）,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02886,社会公德的主要规范是:文明礼貌、助人为乐、爱护公物、勤俭持家、遵纪守法。（）,单选题,飞行安全,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02893,法律对道德的影响主要体现是（）。,单选题,飞行安全,中等,2,是,强制执行和惩罚措施,规范和约束行为范围,宣传道德价值观,保护公民权利和自由,,,规范和约束行为范围,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02894,道德与法律是社会规范的两个重要方面，他们之间的关系是（）。,单选题,飞行安全,中等,2,是,范围相同,互不重叠,相辅相成,层次相同,,,相辅相成,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02897,触犯了法律就一定违反了职业道德。（）,单选题,飞行安全,困难,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02898,职业道德和法律都体现人民群众的利益和意志。（）,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02900,假设你在工作中出现了一次小的失误，暂时还未给单位造成什么损失，领导也没有发现在这种情况下，你认为最好的一种处理办法是（）。,单选题,飞行安全,中等,2,是,不向任何人提起这件事,不告诉任何人，自己在以后的工作中弥补过失,告诉领导，承认自己的过失并承担相应的责任,告诉自己最好的朋友，请他帮自己想一个最好的办法,,,告诉领导，承认自己的过失并承担相应的责任,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02901,“5.12地震”中，德阳汉旺东汽中学高二（一）班老师谭千秋正在上课，危急时刻张开双臂、躬下身躯护住课桌下的4名同学，献出了51岁的生命，这是（）。的最高表现形式,单选题,飞行安全,困难,2,是,奉献社会,忠于职守,诚实守信,热爱本职,,,忠于职守,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02905,某工程队在施工时要把网线穿过一根10米长，但直径只有3厘米的管道，而且管道已经砌在墙体里，并且绕了3个弯，用常规方法无法完成任务一位工程师想出一个主意:从宠物市场买来一只老鼠，把一根线绑在老鼠身上，让老鼠沿着管子跑，这样网线安装的难题顺利得到解决这个案例表明（）。,单选题,飞行安全,中等,2,是,创新的本质是突破,这种方法缺乏专业性，不符合创新的本质,开辟一个新市场才属于创新,这只是歪打正着，不是真正的创新,,,创新的本质是突破,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02907,历涛用1千克面粉，制作并拉出2097152根面条，累计长度为2852千米，相当于从北京到新疆哈密市的距离历涛拉出的面条细如丝，根根不断，一个针眼可穿人18根面条，这个案例表现了（）。的职业道德模范,单选题,飞行安全,中等,2,是,严于律己,探索创新,技艺精湛,执行工艺,,,技艺精湛,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02908,《庄子》中记载的庖丁解牛的故事体现了（）。的职业道德模范,单选题,飞行安全,中等,2,是,技艺精湛,精益求精,专心致志,执行工艺,,,精益求精,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02909,我国著名画家齐白石，1955年荣获国际和平奖他创作的作品深受世界人民欢迎，赢得高度评价他在艺术创作的道路上，几十年如一日，勤奋不懈，即使在八十岁高龄时，还每日坚持挥毫作画这个案例体现了勤学苦练、精益求精的职业道德模范。（）,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02913,在强风条件下，无人机的飞行高度应该控制在（）。以下,单选题,飞行安全,中等,2,是,100米,200米,300米,400米,,,100米,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02920,（）。步骤直接影响到产品的最终质量,单选题,飞行安全,中等,2,是,原材料采购,产品设计,工艺执行,品质检验,,,工艺执行,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:14
02930,在包装材料的选择上，（）。选择更符合环保理念,单选题,飞行安全,中等,2,是,可降解材料,可回收材料,少量包装,使用可重复使用的包装,,,可降解材料,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02931,在公共场所吸烟且不听从劝阻，这主要违背了（）。,单选题,飞行安全,中等,2,是,治安管理规定,消防安全规定,公共场所禁烟规定,城市管理规定,,,公共场所禁烟规定,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02932,企业通过（）。处理生产废料以实现资源的最大化利用,单选题,飞行安全,中等,2,是,分类回收,循环利用,转售给专业回收公司,直接填埋或焚烧,,,循环利用,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02933,环境保护坚持保护优先、预防为主、综合治理、公众参与、损害担责的原则。（）,单选题,飞行安全,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02934,绿色工厂是指原料无害化、生产洁净化、废物资源化、能源低碳化的企业，是绿色制造核心实施单元，对用地集约率没有要求。（）,单选题,飞行安全,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02938,无人机是利用（）。设备和自备的程序控制装置操纵的不载人飞机,单选题,飞行原理,中等,2,是,遥控,导航,飞行,通讯,,,遥控,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02941,（）。不是无人机系统必备的组成部分,单选题,飞行原理,中等,2,是,飞行器,传感器,数据处理设备,操作员,,,操作员,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02942,无人机系统中，（）。部分主要负责飞行控制、导航与自主飞行能力的实现,单选题,飞行原理,中等,2,是,飞行平台,任务载荷,飞控系统,数据链系统,,,飞控系统,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02947,（）。不是用于无人机模拟飞行的软件,单选题,飞行原理,中等,2,是,MicrosoftFlightSimulator,凤凰模拟器,DroneRacer:FlyStuntSimulator,RealFlightG7,,,MicrosoftFlightSimulator,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02948,哪种操作系统通常对无人机模拟飞行软件兼容性最好（）。,单选题,飞行原理,中等,2,是,Windows,macOS,Linux,ChromeOS,,,Windows,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02949,在安装无人机模拟飞行软件时，首先应该做的是（）。,单选题,飞行原理,中等,2,是,选项A,选项B,,,,,选项A,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02950,使用无人机模拟飞行软件时，（）。不是基本操作,单选题,飞行原理,中等,2,是,起飞和降落,悬停控制,飞行环境设置,物理引擎调整,,,物理引擎调整,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02951,安装无人机模拟飞行软件之前，需要确保计算机的硬件配置符合该软件的最低要求。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02952,所有无人机模拟飞行软件都需要连接到互联网才能运行。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02953,多旋翼无人机模拟飞行训练时飞行姿态的改变是通过调整（）。来实现,单选题,飞行原理,中等,2,是,改变电机转速,改变螺旋桨桨距,改变桨叶角度,改变电机大小,,,改变电机转速,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02956,在模拟飞行中，无人机的悬停通常需要调整（）。控制杆,单选题,飞行原理,中等,2,是,油门杆,俯仰杆,横滚杆,偏航杆,,,油门杆,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02957,多旋翼无人机模拟飞行训练可以完全替代实际飞行训练。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02959,固定翼无人机模拟飞行时依靠（）。调整飞行高度,单选题,飞行原理,中等,2,是,改变发动机功率,改变螺旋桨转速,使用升降舵,使用副翼和方向舵,,,使用升降舵,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02960,固定翼无人机模拟飞行时依靠（）。调整飞行方向,单选题,飞行原理,中等,2,是,改变发动机功率,改变螺旋桨转速,使用升降舵,使用副翼和方向舵,,,使用副翼和方向舵,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02961,固定翼无人机模拟飞行五边航线的第一边是（）。,单选题,飞行原理,中等,2,是,离场边,下风边,基地边,上风边,,,离场边,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02962,固定翼无人机五边航线的每一边飞行过程中，主要的姿态控制由（）。完成,单选题,飞行原理,中等,2,是,升降舵和方向舵,副翼和升降舵,副翼、升降舵和方向舵协同,副翼和方向舵,,,副翼、升降舵和方向舵协同,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02964,通过固定翼无人机模拟飞行训练，可以提高飞行员在实际飞行中的应急处理能力。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02965,大气的最外层是（）。,单选题,飞行原理,中等,2,是,对流层,平流层,热层,散逸层,,,散逸层,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02966,大气中含量最多的气体是（）。,单选题,飞行原理,中等,2,是,氧气,氮气,二氧化碳,氩气,,,氮气,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02967,标准大气规定海平面的气温是（）。,单选题,飞行原理,中等,2,是,0℃,15℃,20℃,25℃,,,15℃,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02970,大气的温度随着高度的增加而逐渐升高，这种变化主要发生在对流层。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02971,（）。是最基本的气象要素之一,单选题,飞行原理,中等,2,是,能见度,云量,气温,日照时数,,,气温,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02972,（）。气象要素主要反映大气的干湿程度,单选题,飞行原理,中等,2,是,风速,相对湿度,气压,降水,,,相对湿度,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02975,气温、气压、湿度和风速都是气象中的基本要素。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02976,在气象学中，露点温度是指空气中的水汽达到饱和并开始凝结成水滴的温度。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02978,（）。不属于影响飞机起降的主要气象因素,单选题,飞行原理,中等,2,是,风速和风向,空气的密度,大气压力,空中的水汽含量,,,空中的水汽含量,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02985,无人机在（）。天气现象中飞行，机身容易出现抖动和不稳定的飞行状态,单选题,飞行原理,中等,2,是,沙尘天气,高湿度天气,顺风飞行,轻雾天气,,,沙尘天气,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02986,（）。会导致无人机的电池续航能力急剧下降,单选题,飞行原理,中等,2,是,低温天气,小雪天气,轻度雾霾天气,微风天气,,,低温天气,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02987,飞机积冰主要发生在含有过冷水滴的云层中。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02988,高空激流通常出现在对流层顶部或平流层底部，对飞行影响较小。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:15
02990,大气的粘性主要是由于（）。,单选题,飞行原理,中等,2,是,大气分子的不规则热运动和相互碰撞,大气中的杂质颗粒,地球引力对大气分子的作用,太阳辐射对大气的影响,,,大气分子的不规则热运动和相互碰撞,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
02995,根据伯努利原理，流体速度增加时，（）。会减小,单选题,飞行原理,中等,2,是,温度,密度,压强,粘性,,,压强,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
02998,升力公式“L=1/2ρV2ClS中的Cl代表（）。,单选题,飞行原理,中等,2,是,空气密度,飞行速度,机翼面积,升力系数,,,升力系数,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
02999,飞机的升力主要来源于机翼上下表面的压力差。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03000,其他条件不变的情况下，增加飞机的速度可以增加升力。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03001,多旋翼无人机在空中悬停主要依靠（）。力来平衡,单选题,飞行原理,中等,2,是,重力和电磁力,向心力和重力,重力和升力,升力和摩擦力,,,重力和升力,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03002,多旋翼无人机通过改变（）。部件的速度来实现上升和下降,单选题,飞行原理,中等,2,是,机身,起落架,螺旋桨,导航灯,,,螺旋桨,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03003,多旋翼无人机的方向控制主要依靠（）。传感器来检测旋转运动,单选题,飞行原理,中等,2,是,陀螺仪校准,气压计,温度传感器,加速度计用于姿态感知,,,陀螺仪校准,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03004,多旋翼无人机在没有GPS信号的情况下，通常依靠（）。技术来保持悬停位置,单选题,飞行原理,中等,2,是,光流传感器,红外传感器,激光雷达和摄像头,声波传感器,,,光流传感器,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03013,无人直升机的升力主要由（）。产生,单选题,飞行原理,中等,2,是,机身,主旋翼,尾桨,发动机,,,主旋翼,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03014,无人直升机的尾桨主要作用是（）。,单选题,飞行原理,中等,2,是,提供额外升力,控制直升机的俯仰,平衡主旋翼产生的反扭矩,控制直升机的滚转,,,平衡主旋翼产生的反扭矩,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03015,在无人直升机飞行中，要使直升机上升，应该（）。,单选题,飞行原理,中等,2,是,增大主旋翼的桨距,减小主旋翼的桨距,增大尾桨的桨距,减小尾桨的桨距,,,增大主旋翼的桨距,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03016,无人直升机的前进、后退和左右移动主要通过（）。实现,单选题,飞行原理,中等,2,是,改变旋翼的总距杆位置,改变自动倾斜器的周期变距杆位置,改变尾桨的螺距角,改变旋翼的转速,,,改变自动倾斜器的周期变距杆位置,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03017,无人直升机依靠旋翼产生升力来飞行。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
03018,无人直升机可以实现垂直起降和悬停。（）,单选题,飞行原理,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:39:14,2025-09-18 15:39:16
